{'x': [1, 1, 1, 3], 'x6': 4, 'S': 58, 'S_is_cube': False}
{'x': [6, 10, 12, 15], 'x6': 17, 'S': 2952, 'S_is_cube': False}
{'x': [6, 12, 10, 15], 'x6': 17, 'S': 2952, 'S_is_cube': False}
{'x': [6, 15, 10, 12], 'x6': 17, 'S': 2952, 'S_is_cube': False}
{'x': [4, 8, 11, 18], 'x6': 19, 'S': 3316, 'S_is_cube': False}
{'x': [4, 11, 8, 18], 'x6': 19, 'S': 3316, 'S_is_cube': False}
{'x': [4, 18, 8, 11], 'x6': 19, 'S': 3316, 'S_is_cube': False}
{'x': [6, 11, 14, 18], 'x6': 21, 'S': 6512, 'S_is_cube': False}
{'x': [6, 14, 11, 18], 'x6': 21, 'S': 6512, 'S_is_cube': False}
{'x': [6, 18, 11, 14], 'x6': 21, 'S': 6512, 'S_is_cube': False}
{'x': [3, 11, 17, 19], 'x6': 22, 'S': 6358, 'S_is_cube': False}
{'x': [3, 17, 11, 19], 'x6': 22, 'S': 6358, 'S_is_cube': False}
{'x': [3, 19, 11, 17], 'x6': 22, 'S': 6358, 'S_is_cube': False}
{'x': [2, 6, 17, 22], 'x6': 23, 'S': 3236, 'S_is_cube': False}
{'x': [2, 17, 6, 22], 'x6': 23, 'S': 3236, 'S_is_cube': False}
{'x': [2, 22, 6, 17], 'x6': 23, 'S': 3236, 'S_is_cube': False}
{'x': [4, 9, 12, 18], 'x6': 23, 'S': 10512, 'S_is_cube': False}
{'x': [4, 12, 9, 18], 'x6': 23, 'S': 10512, 'S_is_cube': False}
{'x': [4, 18, 9, 12], 'x6': 23, 'S': 10512, 'S_is_cube': False}
{'x': [6, 12, 15, 18], 'x6': 23, 'S': 9980, 'S_is_cube': False}
{'x': [6, 12, 18, 20], 'x6': 23, 'S': 6855, 'S_is_cube': False}
{'x': [6, 15, 12, 18], 'x6': 23, 'S': 9980, 'S_is_cube': False}
{'x': [6, 18, 12, 15], 'x6': 23, 'S': 9980, 'S_is_cube': False}
{'x': [6, 18, 12, 20], 'x6': 23, 'S': 6855, 'S_is_cube': False}
{'x': [6, 20, 12, 18], 'x6': 23, 'S': 6855, 'S_is_cube': False}
{'x': [10, 12, 12, 20], 'x6': 27, 'S': 17789, 'S_is_cube': False}
{'x': [10, 20, 12, 12], 'x6': 27, 'S': 17789, 'S_is_cube': False}
{'x': [4, 5, 12, 16], 'x6': 29, 'S': 23980, 'S_is_cube': False}
{'x': [4, 12, 5, 16], 'x6': 29, 'S': 23980, 'S_is_cube': False}
{'x': [4, 16, 5, 12], 'x6': 29, 'S': 23980, 'S_is_cube': False}
{'x': [16, 16, 20, 30], 'x6': 31, 'S': 7807, 'S_is_cube': False}
{'x': [16, 20, 16, 30], 'x6': 31, 'S': 7807, 'S_is_cube': False}
{'x': [20, 22, 24, 26], 'x6': 31, 'S': 14495, 'S_is_cube': False}
{'x': [20, 24, 22, 26], 'x6': 31, 'S': 14495, 'S_is_cube': False}
{'x': [20, 26, 22, 24], 'x6': 31, 'S': 14495, 'S_is_cube': False}
{'x': [2, 9, 24, 32], 'x6': 33, 'S': 5108, 'S_is_cube': False}
{'x': [2, 24, 9, 32], 'x6': 33, 'S': 5108, 'S_is_cube': False}
{'x': [2, 32, 9, 24], 'x6': 33, 'S': 5108, 'S_is_cube': False}
{'x': [8, 9, 16, 18], 'x6': 33, 'S': 35212, 'S_is_cube': False}
{'x': [8, 16, 9, 18], 'x6': 33, 'S': 35212, 'S_is_cube': False}
{'x': [8, 18, 9, 16], 'x6': 33, 'S': 35212, 'S_is_cube': False}
{'x': [3, 3, 9, 19], 'x6': 34, 'S': 38694, 'S_is_cube': False}
{'x': [3, 9, 3, 19], 'x6': 34, 'S': 38694, 'S_is_cube': False}
